encierro,lon,lat
"Calle de Santo Domingo, 1",-1.6461943,42.8200904
"Calle de Santo Domingo, 8",-1.645838,42.81942
"Calle de Santo Domingo, 19",-1.6448136,42.8186036
"Calle Mercaderes, 2",-1.6437543,42.8182462
"Calle Mercaderes, 21",-1.643135,42.8185083
"Calle Estafeta, 1",-1.6428924,42.8183948
"Calle Estafeta, 42",-1.6421566,42.8174851
"Calle Estafeta, 87",-1.641183,42.8161767
Calle Amaya,-1.640852,42.815833
Plaza de Toros,-1.639339,42.815837
